,title,company,location,rating,link,summary,salary,job type,shift & schedule,job description
40,PL/SQL Developer,CMiC,Remote,4.1,https://ca.indeed.com/viewjob?jk=183c8276eba7c167,The Application Developer (PL/SQL Developer) is responsible for the development of CMiC software modules using a variety of development tools including PL/SQL…,None Given,Full-time,None Given,"
Are you looking to work for a growing software company? How about a socially responsible company that cares about its employee? If so, keep reading! CMiC has been awarded one of Canada’s Best Managed Companies and is continuing to grow and strive for the best.
 Whether you are a seasoned PL/SQL Developer or a Junior Programmer willing to learn, this may be the role for you! CMiC offers a PL/SQL training program, along with other learning opportunities through our learning portal which gives employees access to thousands of courses! 
Apply today to get the opportunity to join the CMiC Team.
 About CMiC
 Headquartered in Toronto, CMiC is a software company focused on the Construction industry. We have built a comprehensive platform for construction companies to manage their most important workflows. Our customers have their choice of a SaaS or Private Hosted platform that includes industry focused modules to manage everything from Financials and Payroll to Project Management and Budgeting. Our market share is very strong in North America and rapidly expanding internationally in regions like Europe, South East Asia and the Middle East.
 Job Overview
 The Application Developer (PL/SQL Developer) is responsible for the development of CMiC software modules using a variety of development tools including PL/SQL and Java. An essential aspect of this role involves designing, developing, troubleshooting, debugging and testing of user interface, business logic components, and/or reports. The Application Developer works with team members and clients to design and develop business applications and/or reports that support client needs. This is a full time, permanent role.
Duties & Responsibilities

Write high quality and well-documented code according to accepted standards based on user requirements using PL/SQL, Java, Oracle Forms/Reports, Oracle JDeveloper.
Test and debug program units in conjunction with other units and/or systems and integrate with other program modules and systems. 
Participate in project and team meetings interacting and collaborating with team members and other departments as appropriate. 
Evaluate alternative design approaches to meet business and user requirements. 
Provide analysis of problems reported by customers.
Other related duties as assigned.

Requirements

Minimum 3 years professional programming experience using PL/SQL. 
Exposure to Java and Oracle JDeveloper is an asset.
A self-starter who takes initiatives but seeks the assistance of others when necessary.
Excellent problem solving and customer service abilities.
Excellent verbal and written communication skills.
University Degree, preferably in Computer Science.





CMiC is an Equal Opportunity Employer. In accordance with the Accessibility for Ontarians with Disabilities Act, 2005 and the Ontario Human Rights Code, CMiC will provide accommodation to applicants with disabilities throughout the recruitment, selection and/or assessment process. If selected to participate in the recruitment, selection and/or assessment process, please inform Human Resources staff of the nature of any accommodation(s) that you may require.
 Benefits

Full-time, permanent role 
Flexible remote work policy
Competitive benefits Package (including Health & Dental benefits)
Paid vacation and personal days
Virtual Townhall meetings where all employees are encouraged to participate in open discussions
An active Social Events Committee (past events include annual seasonal parties, pool and bowling tournaments, karaoke nights, virtual game nights, BBQ’s, and more)
Health and Wellness focus including virtual fitness classes, wellness webinars, and discounted gym memberships
RRSP Matching Program after 2 years of employment

"
41,Head Coach - SOD Programming,The Osler Bluff Ski Club,"Collingwood, ON",4.4,https://ca.indeed.com/viewjob?jk=11e51336a1977d6d,"This is a full- or part-time position (depending on the candidate), reporting to the Director of Skiing._.The Head Coach will be responsible for overseeing and…",None Given,Full-timePart-timeSeasonal,Weekend availabilityMonday to FridayHolidays,"Osler Bluff Ski Club is seeking a highly motivated and experienced Head Coach to lead our SOD (Southern Ontario Division) skiing program. This is a full- or part-time position (depending on the candidate), reporting to the Director of Skiing.
Position Summary:
The Head Coach will be responsible for overseeing and leading the SOD program at Osler Bluff Ski Club. The successful candidate will be responsible for developing and executing a comprehensive training program that aligns with the club's goals and objectives. They will also be responsible for coaching and mentoring athletes to achieve their individual goals, while promoting a positive and supportive team culture.
Key Responsibilities:

Develop and implement a comprehensive training program that aligns with the club's goals and objectives
Coach and mentor athletes to achieve their individual goals
Plan and execute training sessions, on and off the hill
Lead and manage a team of coaches
Foster a positive and supportive team culture
Develop and maintain positive relationships with athletes, parents, and Club members
Attend competitions and events as required
Collaborate with other departments within the club to ensure alignment with overall club objectives
Responsible for athlete safety and welfare

Qualifications:

Minimum of DL Certified or Level 3 Instructor
5+ years of coaching experience in a competitive ski racing program
Experience coaching at the provincial or national level would be an asset
Ability to speak multiple languages due to team travel would be an asset
Strong leadership and management skills
Excellent communication and interpersonal skills
Ability to work collaboratively within a team
A passion for skiing and coaching
A commitment to continuous learning and development
Must be physically fit and able to perform physically demanding activities.
Flexible, adaptable, and able to execute a range of job duties and changing priorities.
Possess excellent verbal and written communication skills.
Possess professional maturity and impeccable integrity.
You have a commitment to Osler Bluff Ski Club’s values and vision.

Salary and Benefits:
Osler Bluff Ski Club offers a competitive salary, commensurate with experience and qualifications.
Osler Bluff Ski Club values the unique skills and experiences each individual brings to the Club and we are committed to creating and maintaining an inclusive and accessible environment for everyone.
We welcome all resumes. If you require accommodations during the recruitment and selection process due to a disability, please contact the Human Resources Department. We will work with you to provide a positive recruitment experience in a confidential manner.
Job Types: Full-time, Part-time, Seasonal
Benefits:

On-site parking

Schedule:

Holidays
Monday to Friday
Weekend availability

Ability to commute/relocate:

Collingwood, ON L9Y 0R7: reliably commute or plan to relocate before starting work (required)

Work Location: In person"
42,Software Tester,Synic Software Inc.,"Vancouver, BC",None Given,https://ca.indeed.com/viewjob?jk=f3e59ae70f94e3a2,"We are currently seeking software testers on a part-time basis, to support the ongoing needs of our dev team.Providing feedback of new features.",From $23 an hour,Part-time,Day shiftMonday to Friday,"Job Description:
At Synic Software, we are a bunch of cool people working together to create software solutions for businesses.
Our hub in downtown Vancouver houses some of the best minds in the industry. We cater to diverse industries from finance to real estate, e-commerce to health, transportation and retail. We're not about segregated features. Full integration for user friendly technology and engagement immediacy is our jam.
We are currently seeking software testers on a part-time basis, to support the ongoing needs of our dev team.
Key Responsibilities:

performing manual and automated tests on features in development
participating in the development and maintenance of automated test cases in existing build pipeline
finding and documenting bugs as they are discovered
providing feedback of new features

Experience and Skills:

familiarity with .NET framework and C#
experience with testing tools
experience with JIRA or other bug tracking software an asset
excellent verbal and written communication skills

Job Type: Part-timePart-time hours: 24 per week
Salary: From $23.00 per hour
Benefits:

Casual dress
Company events
Flexible schedule

Schedule:

Day shift
Monday to Friday

Experience:

software QA: 1 year (preferred)

Work Location: One location"
43,Junior Software Programmer (remote position),Service Quality Measurement Group,"Remote in Vernon, BC",None Given,https://ca.indeed.com/viewjob?jk=dfcf44e32bd01eaf,SQM is a leading North American software company specializing in customer service QA management for call centre agents.Three weeks’ vacation to start.,None Given,Full-time,None Given,"



At SQM, our mission is to help call centres improve their customer satisfaction – one agent at a time. SQM is a leading North American software company specializing in customer service QA management for call centre agents. Through our mission and strategy, SQM fosters a culture of transformation, friendliness, collaboration, and teamwork with a customer-centric mindset. SQM has locations in both Vernon, BC and in Coeur d’Alene, Idaho.
 SQM is looking for a junior programmer to augment our Software Development team and assist with new projects as well as further improve our existing software projects. Most of our systems are based around .net and SQL server. Applicants should have a working knowledge of C# or similar languages, along with an ability to write/edit SQL queries.
 Additionally, the following skills will also helpful:

 Proven programming experience
 Multi-tasking and time management skills
 Excellent analytical abilities
 Detailed and goal-oriented
 Ability to work in a team environment
 Ability to work effectively and collaboratively and be flexible
 Ability to set priorities and meet deadlines

 A diploma or degree in Computer Science is required.
 This is a remote work position with preference for those living in the Pacific or Mountain time zone in Canada. If outside of the Pacific time zone, flexibility in working hours will be required to align with the Pacific time zone. Remote workers must have a quiet and distraction-free working space with an internet connection speed of at least 50 Mbps down and 15 Mbps up.
 Some of the benefits of working at SQM are:

 Competitive salary dependent upon education and work experience
 Extended Group Benefits Plan with Health, Dental, Vision, Employee Assistance Program, and insurance including short- and long-term disability
 Three weeks’ vacation to start
 Five paid sick days per year

 SQM Group is an equal opportunity employer. It is our policy to provide equal employment opportunity to all persons, regardless of race, religion, colour, sex, age, national origin, disability, genetic information or any factor that is a prohibited consideration under applicable law.



"
44,Jr. Full Stack JavaScript developer (West Coast Branch),Plexxis Software,"Victoria, BC",4.3,https://ca.indeed.com/viewjob?jk=8209da8a975673f1,"Job Type: Full time, permanent.Make meaningful contributions to a product that people rely on in their day-to-day business operations.","$61,500–$148,500 a year",Full-time,None Given,"
Position Title: Jr. Full Stack JavaScript developer
Reports to: Director, R&D
Job Type: Full time, permanent
Location: (Langford) Victoria, BC
Salary Range: $61,500 - $148,500  What You Will Do
As part of the Plexxis web development team, you will…

use react + node/express to create user interfaces and backend API calls as part of the ongoing effort to modernize our primary product offering
 learn from more senior team members who direct your day-to-day activities
 make meaningful contributions to a product that people rely on in their day-to-day business operations
 grow into a strong developer as you build your lifelong career at Plexxis

Requirements

You like people
 You are focused
 You are supportive
 You are driven
 You like to work in a team but are fine working on your own when the occasion calls for it
 You love coding and you love a good challenge
 You know some JavaScript basics
 You know some ReactJS basics, AngularJS basics, or VueJS basics
 You know some NodeJS basics

Nice to Have

Personal projects that demonstrate your love of development
 Developer training of some kind (boot-camp, college, university, etc.)
 Typescript
 OracleDB or any relational database exposure (SQL)


 About Plexxis Software

Plexxis maximizes the profit and efficiency of customers through software that unites accounting, costing, project management, estimating, and mobile applications into a single, world-class solution built exclusively for construction subcontractors.
Our Very Special Working Environment
Rooted in our belief that we are stronger together, Plexxis Software benefits from the synergy you can only get by bringing together the best and brightest people who embrace and embody our core values.
Are You the Perfect Fit? Do You Wish to:

Work with a small, tight-knit group of hard-working, dedicated, and fun individuals
 Enjoy the atmosphere of a rapidly growing, high energy company with an entrepreneurial spirit
 Be on the winning team - poised to emerge as the global leader
 Be challenged in the workspace, or even in the lunchroom
 Lose the stuffy environment (and politics) of “big corporate” and focus on delivering what the competition calls “impossible”
 If you are ready for an exciting career with an industry leader, apply today.

Disclaimer for all posting locations: We thank all applicants in advance for their interest but advise that only those selected for an interview will be contacted.
Plexxis is committed to the principles of diversity and inclusion, encouraging applications from all well-qualified applicants. Accommodation is available for applicants, including those with disabilities, throughout the recruitment process.
Please Note: If you are offered a position at Plexxis Software, you may be required to agree to a background check.
PLEXXIS IS AN EQUAL OPPORTUNITY EMPLOYER

"
45,Experienced CNC (computer numeric control) Operator/Programmer (Mastercam),Thorburn Flex Inc.,"Pointe-Claire, QC",2,https://ca.indeed.com/viewjob?jk=9462b0c0043b5009,Only open to qualified individuals / No out of town applicants*.Experience of minimum 3 years preferred.CNC Operator Programmer is responsible for running…,From $20 an hour,Full-timePermanent,8 hour shiftOvertimeMonday to Friday,"Only open to qualified individuals / No out of town applicants
Experience of minimum 3 years preferred.
CNC Operator Programmer is responsible for running equipment to produce specific parts and is able to do Mastercam programming when required.
Setup and operate 4 axis lathe/mill + program CNC when necessary
Knowledge of CNC milling and lathe tooling
Ability to clearly read and understand technical drawings
Excellent understanding of basic and G code as well as machine offsets.
Physical work: good fitness level required, ability to stand, sit, walk, lift, handle light equipment and product which weighs up to 50 lbs
Ability to use various types of manufacturing devices and tools, as well as drive a forklift a definite plus. Knowledge of DMG Mori an asset.
Job Types: Full-time, Permanent
Salary: From $20.00 per hour
Benefits:

Casual dress
Dental care
Extended health care
VRSP

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Overtime pay

Work Location: In person"
46,Software Developer 3,Natus Medical Incorporated,"Remote in Oakville, ON",3.5,https://ca.indeed.com/viewjob?jk=b7cec366fbdcd819,"Paid time off plan (3 weeks, 7 sick days).You would enjoy coding in predominantly C++ for leading-edge Neuroworks EEG software that collects, monitors, and…",None Given,None Given,None Given,"

Start a new adventure in the medical device industry today and make a difference in someone’s life.
 Our Software Developer 3 - Remote is an essential driver of complex, cross-functional projects with a high business impact at Natus Medical. Can you see yourself joining our Global Software Engineering organization that improves the lives of patients of all ages in the nervous and sensory system disorder space? Take the test below!

You would enjoy coding in predominantly C++ for leading-edge Neuroworks EEG software that collects, monitors, and manages data for routine EEG testing, ambulatory EEG, long-term monitoring, ICU monitoring, and research studies.
You are pro-active to drive full development lifecycle of complex software working with the Microsoft tech stack
You value protecting patient data and privacy and are not scared of heavy technical documentation and adhering to a robust quality system to ensure the best possible product
You enjoy international teamwork across business groups such as R&D Engineering, Quality, Regulatory, and Product Management, because at the end of the day, you know your efforts impact someone’s life through the powerful healthcare solutions created at Natus.
We all know how important the brain is to the heart of human existence. If you've ever wanted to sink your teeth into all products brain-related and provide technical mentorship to others, look no further!

Here’s what you can expect:
 Canadian Benefits

Competitive salaries
Comprehensive benefit package that starts your first day
Paid Holidays
RRSP Match
Paid time off plan (3 weeks, 7 sick days)
Tuition reimbursement up to $5,000 annually, Udemy Online Learning
Location: This role can be based out of a Natus site or Remote with up to 25% travel on project need basis.

Main Responsibilities

Participate in software development:

Analyze and review customer requirements
Write and review detailed software technical specifications
Participate in architecture definition, documentation, and review
Prepare estimates for the complete design, implementation, and testing of new features
Create and update design documentation throughout lifecycle and review designs of others
Implement required software functionality meeting established requirements and specifications
Create and execute unit test plans and review the plans of others
Provide estimations to support project planning
Aid in the resolution of customer support issues

Serve as a catalyst for continuous improvement of product and process:

Proactively provide recommendations on improvements to product and/or processes to increase development efficiency and improve quality

Ensure Adherence To Quality System:

Adhere to established Quality Systems and design control procedures and practices

Travel: *If Remote, up to 25% travel on a project need base primarily to Oakville, ON site.



 Qualifications

Minimum 5 years' experience software development with C++ and working knowledge of C#
Bachelor of Computer Science or similar. Master’s degree preferred. A combination of education and experience may be considered
Experience developing software in a heavily regulated industry, preferably medical device
Experience with full project life cycle from planning to product delivery
Experience with any one of these: Azure Devops, Perforce, Github, or Bitbucket repositories
Experience with JIRA or similar
Experience with Network Applications preferred
Excellent verbal, presentation, and written communication skills for technical and non-technical audiences
Fluent with both Agile and Waterfall SDLCs
Experience with reverse engineering and refactoring of existing code


Desired Qualifications (Not Required):

Knowledge of IEC 62304, ISO 13485, and ISO 14971 highly desired
Proficiency with ASP.NET, ADO/ADO.NET, .NET, WPF, SQLServer
Proficiency with HTTP, HL7, UML
Experience integrating Windows applications with Active Directory/LDAP
Proficiency with web/cloud application development
Experience with design patterns and code reviews
Experience with MFC
Experience with Intel VTune or AQTime Profilers
Experience with implementing, debugging, and troubleshooting TCP/IP over WIFI communications
Experience with developing and debugging Windows Services
Experience with InstallShield or another installation packaging

#INDNATUS
 EEO Statement Natus Medical is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, veteran status, disability, sexual orientation, gender identity, or any other protected status.
 Accessibility:
 Natus is committed to creating an inclusive environment that accommodates all individuals, including those with disabilities. We support the goals of the Accessibility for Ontarians with Disabilities Acts (AODA) and have established policies, procedures and practices which adhere to the accessibility standards set out in the AODA. Should you require any accommodation throughout the recruitment process please do not hesitate contacting our Human Resources Department.
 #LI-HJ #LI-REMOTE #LI-HYBRID #Ontariojobs #Torontojobs #Oakvillejobs #Ottawajobs


"
47,DevOps engineers with Puppet,United Software Group Inc,"Remote in Montréal, QC",None Given,https://ca.indeed.com/viewjob?jk=915d171c14881e9e,"Build, deploy and maintain our infrastructure as code on large scale multi-site deployments using Terraform.Automate workflows to help pushing the limit of the…",$37.57–$100.00 an hour,Fixed term contract,8 hour shift,"DevOps engineers with Puppet
Client Location: Montreal, QC
100% Remote Role
12 Months Contract
We are currently hiring DevOps engineers with Puppet for our team – you’ll have the opportunity to work on state of technology and would be involved in ensuring our AI products are deployed into the cloud. At this Client, DevOps is the cornerstone of our SaaS initiative, driving deployment excellence and product quality through a software-defined approach to operations and infrastructure.
Responsibilities:

Build, deploy and maintain our infrastructure as code on large scale multi-site deployments using Terraform.


Develop CI/CD pipelines to deploy software in a cloud native platform (Azure, Kubernetes)


Automate workflows to help pushing the limit of the infrastructure - Troubleshoot issues until root causes are understood on high traffic production systems.


Implement and enforce best DevOps and security practices.


Be responsible for identifying bottlenecks and improving performance of our infrastructure.


Choose, deploy and manage tools and technologies to build and support a robust infrastructure (Monitoring/Deployment/self-healing)


Automation of business/deployment/validation processes


Develop/Test/Apply software configuration management.


Develop/Test/Run Software release procedures/pipelines.


Interact with users to coordinate infrastructure changes.


Participate in the testing of functionality, operability, deployment, and performance for application or infrastructure changes.


Evangelize SDLC processes for infrastructure change.


Participate in tool authoring, integration and extension via REST or SOAP.


Drive, define and deploy system monitoring with thresholds and actionable alerts.


Provide supports for production deployments.


Perform tasks related to securing and keeping the products, tools, and processes that you are responsible for securing.

Qualifications:

BS in Computer Science/Engineering or equivalent technical degree.


5+ Years’ experience in a DevOps role

We are open minded on experience as long as you have some of:

Knowledge / hands on experience with Linux


Knowledge of Infrastructure as Code tools such as Terraform HCL or Azure ARM


Knowledge / hands-on experience with Cloud infrastructure (Azure, AWS)


Docker / Kubernetes


Understanding Java or other languages


Basic knowledge of networking (TCP/IP, UDP, VPN, DNS, TLS)


Excellent interpersonal and communication skills (written and verbal).

Also interesting:

AKS, LXC, Helm, Prometheus


CI/CD: GitHub, GitLab, Azure DevOps, Harness, Jenkins


Monitoring: Grafana, FluentD, ElasticStack, Prometheus,  SumoLogic, Azure Analytics


Database: SQL


Storage: Blob, Min.io

Job Type: Fixed term contractContract length: 12 months
Salary: $37.57-$100.00 per hour
Schedule:

8 hour shift

Experience:

DevOps: 1 year (preferred)
"
48,PL/SQL Developer,CMiC,Remote,4.1,https://ca.indeed.com/viewjob?jk=183c8276eba7c167,The Application Developer (PL/SQL Developer) is responsible for the development of CMiC software modules using a variety of development tools including PL/SQL…,None Given,Full-time,None Given,"
Are you looking to work for a growing software company? How about a socially responsible company that cares about its employee? If so, keep reading! CMiC has been awarded one of Canada’s Best Managed Companies and is continuing to grow and strive for the best.
 Whether you are a seasoned PL/SQL Developer or a Junior Programmer willing to learn, this may be the role for you! CMiC offers a PL/SQL training program, along with other learning opportunities through our learning portal which gives employees access to thousands of courses! 
Apply today to get the opportunity to join the CMiC Team.
 About CMiC
 Headquartered in Toronto, CMiC is a software company focused on the Construction industry. We have built a comprehensive platform for construction companies to manage their most important workflows. Our customers have their choice of a SaaS or Private Hosted platform that includes industry focused modules to manage everything from Financials and Payroll to Project Management and Budgeting. Our market share is very strong in North America and rapidly expanding internationally in regions like Europe, South East Asia and the Middle East.
 Job Overview
 The Application Developer (PL/SQL Developer) is responsible for the development of CMiC software modules using a variety of development tools including PL/SQL and Java. An essential aspect of this role involves designing, developing, troubleshooting, debugging and testing of user interface, business logic components, and/or reports. The Application Developer works with team members and clients to design and develop business applications and/or reports that support client needs. This is a full time, permanent role.
Duties & Responsibilities

Write high quality and well-documented code according to accepted standards based on user requirements using PL/SQL, Java, Oracle Forms/Reports, Oracle JDeveloper.
Test and debug program units in conjunction with other units and/or systems and integrate with other program modules and systems. 
Participate in project and team meetings interacting and collaborating with team members and other departments as appropriate. 
Evaluate alternative design approaches to meet business and user requirements. 
Provide analysis of problems reported by customers.
Other related duties as assigned.

Requirements

Minimum 3 years professional programming experience using PL/SQL. 
Exposure to Java and Oracle JDeveloper is an asset.
A self-starter who takes initiatives but seeks the assistance of others when necessary.
Excellent problem solving and customer service abilities.
Excellent verbal and written communication skills.
University Degree, preferably in Computer Science.





CMiC is an Equal Opportunity Employer. In accordance with the Accessibility for Ontarians with Disabilities Act, 2005 and the Ontario Human Rights Code, CMiC will provide accommodation to applicants with disabilities throughout the recruitment, selection and/or assessment process. If selected to participate in the recruitment, selection and/or assessment process, please inform Human Resources staff of the nature of any accommodation(s) that you may require.
 Benefits

Full-time, permanent role 
Flexible remote work policy
Competitive benefits Package (including Health & Dental benefits)
Paid vacation and personal days
Virtual Townhall meetings where all employees are encouraged to participate in open discussions
An active Social Events Committee (past events include annual seasonal parties, pool and bowling tournaments, karaoke nights, virtual game nights, BBQ’s, and more)
Health and Wellness focus including virtual fitness classes, wellness webinars, and discounted gym memberships
RRSP Matching Program after 2 years of employment

"
49,Web Designer & Developer,Azuro Digital,Remote,None Given,https://ca.indeed.com/viewjob?jk=530a4c52e3cd10de,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.*.","From $70,000 a year",Full-timePermanent,Monday to Friday,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.
Azuro Digital is one of Canada’s top rated & award winning web design agencies.
We treat our clients like partners, and we go above and beyond to exceed their expectations in every respect. Our websites are built to get found on Google, motivate website visitors to take action, and create a stunning impression of the brand.
To learn more about us, check out our website: https://www.azurodigital.com/
As a web designer at Azuro Digital, you’ll build websites for exciting companies and you’ll execute every stage of the process with tons of creative control. Please note that coding knowledge is NOT required for this position.
We’re looking for a highly motivated team member with strong communication skills, a keen eye for design, and a self-starter mentality.
Responsibilities:
- Design and develop stunning websites on WordPress using Elementor (no coding knowledge required & if you haven’t used WordPress or Elementor before, we’ll teach you)
- Work with the client to create a content outline that will optimize the user experience and conversion rate. From there, the client or a professional copywriter will provide the written content
- Implement basic SEO tasks (no prior SEO experience is required)
- Communicate directly with clients (via email, phone, and Zoom) to customize their website, fulfill their unique needs, and exceed their expectations
- Build and refine the agency’s standard operating procedures (SOPs) to optimize workflows and make the process straightforward for future employees
- Meet with prospective clients (virtually) to learn about their requirements and convince them to choose Azuro Digital if we’re a good fit for their project. Our owner will lead the sales process, but you will sometimes be asked to provide assistance
Requirements:
- At least 1 full year of web design and development experience
- Submit a portfolio of previous websites that you designed and developed. Your portfolio must be in the form of active website URLs (built with any platform)
- Excellent communication skills (written and verbal)
- Motivated to take initiative, grow the company, and become a leader
- Must currently live in Canada
Nice-to-Haves:
- Experience with WordPress (especially the Elementor page builder)
- Experience with custom code and complex plugins
- Logo design experience
- Graphic design experience
- SEO experience
- Copywriting experience
Benefits:
- We’re a small agency and you will be treated like a “partner” rather than an employee. You will make a significant impact and will shape the future trajectory of our company
- Room for professional growth and salary increases
- Work from anywhere in Canada. The position is fully remote
- Health insurance coverage
Compensation:
The starting salary is $70,000 with room for growth.
Job Types: Full-time, Permanent
Salary: From $70,000.00 per year
Benefits:

Casual dress
Dental care
Extended health care
Flexible schedule
Paid time off
Vision care
Work from home

Flexible Language Requirement:

French not required

Schedule:

Monday to Friday

Supplemental pay types:

Bonus pay

Work Location: Remote"
50,Senior Software Engineer,Piranha Games Inc.,"Metro Vancouver Regional District, BC",3.9,https://ca.indeed.com/viewjob?jk=c1d43b3d7dc1be83,"Flexible Schedules & Remote Working Arrangements.Implement, prototype, debug, and refine gameplay features, mechanics and tools.High proficiency in C/C++.",None Given,None Given,None Given,"WHY YOU SHOULD WORK WITH PGI:


Flexible Schedules & Remote Working Arrangements
People-focused Events & Initiatives
Comprehensive Benefits
Competitive Compensation

RESPONSIBILITIES:


Implement, prototype, debug, and refine gameplay features, mechanics and tools
Create systems and features in gameplay related disciplines
Attention to product quality, scalability, performance, and security
Evaluate effectiveness of designer and artist workflows and make game system or tool improvements accordingly
Profile and make appropriate game system optimizations for speed, memory, or bandwidth
Provide ongoing support, improvement, and debugging for existing features
Collaborate with Game Designers and Artists to integrate their creative ideas into the game
Anticipate, identify and articulate technical and developmental risks, obstacles and deficiencies and generate solutions. Participate in design reviews to provide relevant engineering feedback
Work with multiple disciplines in order to architect solutions to problems in order to achieve design goals and/or address technical debt
Establish processes to improve feature delivery, product deployment, etc.
Additional duties as assigned

REQUIREMENTS:


7+ years of game programming experience, preferably in the video game industry
Bachelor’s degree in Computer Science or related field, or a combination of education and relevant experience
Superior analytical and problem solving skills
Highly motivated and self-driven
Ability to multitask on multiple goals/objectives
Capable of working with little instruction to resolve demanding tasks, as well as work with internal teams
Exemplary written and verbal communication skills
Excellent organizational and interpersonal skills
Have shipped one AAA title

TECHNICAL REQUIREMENTS:


High proficiency in C/C++
Very strong understanding of multithreading and multithreaded design patterns
CPU/Memory profiling and optimization
Strong code analysis skills
Strong debugging skills

BONUS POINTS:


Experience working with Unreal 4
Experience working within Agile Game Development methodologies
A passion for games!
 Want to know more? Submit your application and let us tell you about working at Piranha and why we love it! 

 Founded in 2000, Piranha Games is an action gaming studio with unparalleled experience developing licensed products for big-name franchises, including AAA licensed titles such as; Need for Speed: Undercover and Duke Nukem Forever. Best known for the Free-to-Play game title MechWarrior Online, PGI is as committed as ever to creating world-class action-based games, having most recently released MechWarrior 5: Mercenaries. Piranha Games is part of the Enad Global 7 group. For more information please visit www.piranhagames.com 

 Piranha Games is proud to be an equal opportunity employer. We celebrate diversity and are committed to fostering an inclusive environment for all employees. Formal education is not always required. All team members are hand-picked because they are skilled in their individual fields, immensely creative and hard workers. We hire avid gamers and mold them to the standards we believe make amazing products. 

 Should you need assistance or an accommodation due to a disability, you may contact us at recruiting@piranhagames.com (mailto: recruiting@piranhagames.com) 

 We thank you for your interest in this position. Due to the amount of applications, only those selected for an interview will be contacted."
51,Application Developer (Junior),Visual-Eyes Software (SOTH Inc.),"Red Deer, AB",None Given,https://ca.indeed.com/viewjob?jk=1b6c697bc42e8b63,Work with our team and clients to establish new screen designs.Migrate existing areas to new designs that are platform independent.,"$48,934–$53,681 a year",Full-time,8 hour shiftMonday to Friday,"Visual-Eyes is a leading practice management software for the eye care industry in Canada. We have been in business for over 25 years and are looking for a new Application Developer (Junior) to join our Red Deer team. Our Core Purpose is to be ""Partners in the journey to success"" with our clients and what we do best is to ""Streamline Business Processes"".
The Application Developer's starting focus is entry-level development tasks and cross-platform upgrades.
Key Responsibility Areas
Cross Platform Upgrades

Work with our team and clients to establish new screen designs
Migrate existing areas to new designs that are platform independent
Ensure new areas run cleanly and efficiently
Fix bugs related to new designs and technologies

Development

Use Agile SCRUM methodology
Participate in daily stand-ups
Communicate with the Lead Developer to review priorities, clarify needs, and receive approval for which defects or features will be addressed
Assess, analyze, and determine how the development will impact customers
Utilize Test Driven Development

Other

Stay on top of email correspondence
Perform a variety of other projects and assignments as required

Requirements
Experience

Object oriented programming
Development experience
SQL, Delphi, FMX, Git, and/or Bitbucket experience is a great asset

Education

Bachelor of Computer Science or equivalent

Competencies (skills, abilities, knowledge):

High attention to detail / accuracy
Good attitude and work ethic
Communication – verbal and written
Logical analytical skills
Problem solving / troubleshooting
Technical - computer / development skills

What do we offer? An exciting career opportunity, full health benefits, Group RSP's, monthly staff events, a relaxed corporate atmosphere (you can wear jeans to work), and the chance to work with a group of crazy talented people who are driven to do what's best for our clients.
To learn more about us, please visit us at: www.visual-eyes.ca
*This is not a remote role, we require that all candidates are able to work on-site at our Red Deer office.
**We thank all candidates who apply, however, only those considered for an interview will be contacted.
Job Type: Full-time
Salary: $48,934.00-$53,681.00 per year
Benefits:

Casual dress
Company events
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Red Deer, AB: reliably commute or plan to relocate before starting work (required)

Application question(s):

Why are you interested in this job?

Education:

Bachelor's Degree (required)

Experience:

object oriented programming: 1 year (preferred)

Work Location: In person"
